					0	
eng-ars	flores200-devtest	0.00589	0.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	21364
eng-ary	flores200-dev	0.01028	0.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19936
eng-ary	flores200-devtest	0.00858	0.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20751
eng-arz	flores200-dev	0.00764	0.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	20196
eng-arz	flores200-devtest	0.00692	0.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	21034
eng-heb	flores101-dev	0.53553	23.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19946
eng-heb	flores101-devtest	0.54523	24.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20749
eng-heb	flores200-dev	0.53796	24.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19417
eng-heb	flores200-devtest	0.54759	25.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	20238
eng-heb	tatoeba-test-v2020-07-28	0.558	32.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	10000	60359
eng-heb	tatoeba-test-v2021-03-30	0.56228	32.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	10366	62601
eng-heb	tatoeba-test-v2021-08-07	0.562	32.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	10519	63628
eng-mlt	flores101-dev	0.67317	33.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	21107
eng-mlt	flores101-devtest	0.67502	33.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	22169
eng-mlt	flores200-dev	0.67317	33.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	21107
eng-mlt	flores200-devtest	0.67502	33.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	22169
eng-mlt	tatoeba-test-v2020-07-28	0.551	21.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	203	899
eng-mlt	tatoeba-test-v2021-03-30	0.549	20.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	206	911
eng-mlt	tatoeba-test-v2021-08-07	0.55114	21.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	203	899
eng-tir	flores200-dev	0.01337	0.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	997	19014
eng-tir	flores200-devtest	0.0137	0.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	1012	19825
eng-tir	tico19-test	0.06663	1.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-sem/opus4m+btTCv20210807-2021-09-30.zip	2100	46685
