					0	
eng-fra	newstest2011	0.58965	30.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3003	80626
eng-fra	newstest2012	0.573	29.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3003	78011
eng-fra	newstest2013	0.56374	29.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3000	70037
eng-fra	newstest2014	0.61281	34.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3003	77306
eng-fra	tatoeba-test-v2020-07-28	0.63212	44.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	10000	80769
eng-fra	tatoeba-test-v2021-03-30	0.637	45.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	10892	89269
eng-fra	tatoeba-test-v2021-08-07	0.64097	45.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	12681	106378
eng-fra	tico19-test	0.59416	33.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2100	64661
eng-glg	flores101-dev	0.56911	29.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25265
eng-glg	flores101-devtest	0.571	28.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26582
eng-glg	flores200-dev	0.56911	29.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25265
eng-glg	flores200-devtest	0.57138	28.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26582
eng-glg	tatoeba-test-v2020-07-28	0.6422	43.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1008	7830
eng-glg	tatoeba-test-v2021-03-30	0.641	43.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1020	7923
eng-glg	tatoeba-test-v2021-08-07	0.64225	44.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1015	7881
eng-hat	flores200-dev	0.45189	15.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	24637
eng-hat	flores200-devtest	0.45070	14.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	25833
eng-ind	flores101-dev	0.61155	32.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	21814
eng-ind	flores101-devtest	0.62489	34.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	22755
eng-ind	flores200-dev	0.61155	32.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	21814
eng-ind	flores200-devtest	0.62489	34.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	22755
eng-ind	tatoeba-test-v2020-07-28	0.622	36.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	4289	28297
eng-ind	tatoeba-test-v2021-03-30	0.622	36.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	4289	28297
eng-ind	tatoeba-test-v2021-08-07	0.62209	36.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	4289	28297
eng-ind	tico19-test	0.652	37.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2100	52102
eng-ita	flores101-dev	0.546	23.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25840
eng-ita	flores101-devtest	0.55201	24.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	27306
eng-ita	flores200-dev	0.54636	23.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25840
eng-ita	flores200-devtest	0.55201	24.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	27306
eng-ita	newssyscomb2009	0.588	28.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	502	11551
eng-ita	newstest2009	0.58083	28.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2525	63466
eng-ita	tatoeba-test-v2020-07-28	0.6723	45.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	10000	65500
eng-ita	tatoeba-test-v2021-03-30	0.68127	46.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	13443	89836
eng-ita	tatoeba-test-v2021-08-07	0.68933	47.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	17320	116336
eng-lad_Latn	tatoeba-test-v2020-07-28	0.33496	8.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	582	3097
eng-lad_Latn	tatoeba-test-v2021-03-30	0.34144	8.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	696	3712
eng-lad_Latn	tatoeba-test-v2021-08-07	0.34427	9.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	672	3580
eng-lad	tatoeba-test-v2020-07-28	0.30706	8.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	629	3354
eng-lad	tatoeba-test-v2021-03-30	0.298	7.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	781	4186
eng-lad	tatoeba-test-v2021-03-30	0.30001	7.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	781	4186
eng-lad	tatoeba-test-v2021-08-07	0.295	7.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	768	4105
eng-lad	tatoeba-test-v2021-08-07	0.29775	8.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	768	4105
eng-lij	flores200-dev	0.29133	3.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	27017
eng-lij	flores200-devtest	0.29472	3.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	28625
eng-lmo	flores200-dev	0.28511	3.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	27883
eng-lmo	flores200-devtest	0.28327	3.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	29441
eng-oci	flores101-dev	0.534	23.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25819
eng-oci	flores101-devtest	0.53576	23.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	27305
eng-oci	flores200-dev	0.53514	23.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25819
eng-oci	flores200-devtest	0.53576	23.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	27305
eng-oci	tatoeba-test-v2020-07-28	0.288	7.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	841	5219
eng-oci	tatoeba-test-v2021-03-30	0.28851	7.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	842	5225
eng-oci	tatoeba-test-v2021-08-07	0.28804	7.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	841	5219
eng-pap	flores200-dev	0.53445	24.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	26856
eng-pap	flores200-devtest	0.53047	24.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	28016
eng-pms	tatoeba-test-v2020-07-28	0.19888	2.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	268	2244
eng-pms	tatoeba-test-v2021-03-30	0.19877	2.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	270	2249
eng-pms	tatoeba-test-v2021-08-07	0.19882	2.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	269	2247
eng-por	flores101-dev	0.65258	40.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25287
eng-por	flores101-devtest	0.65774	40.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26519
eng-por	flores200-dev	0.65258	40.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25287
eng-por	flores200-devtest	0.65774	40.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26519
eng-por	tatoeba-test-v2020-07-28	0.63559	41.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	10000	75371
eng-por	tatoeba-test-v2021-03-30	0.63574	41.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	11574	87572
eng-por	tatoeba-test-v2021-08-07	0.64106	42.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	13222	105265
eng-ron	flores101-dev	0.57529	29.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25616
eng-ron	flores101-devtest	0.576	28.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26799
eng-ron	flores200-dev	0.57529	29.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	25616
eng-ron	flores200-devtest	0.57629	28.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26799
eng-ron	newsdev2016	0.560	26.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1999	51300
eng-ron	newstest2016	0.54478	25.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1999	48945
eng-ron	tatoeba-test-v2020-07-28	0.63169	40.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	5000	36851
eng-ron	tatoeba-test-v2021-03-30	0.63437	41.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	10019	73774
eng-ron	tatoeba-test-v2021-08-07	0.63692	41.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	5508	40367
eng-scn	flores200-dev	0.24185	2.8	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	24077
eng-scn	flores200-devtest	0.24176	2.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	25160
eng-spa	flores101-dev	0.52087	23.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	27793
eng-spa	flores101-devtest	0.52639	23.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	29199
eng-spa	flores200-dev	0.52087	23.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	27793
eng-spa	flores200-devtest	0.52639	23.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	29199
eng-spa	newssyscomb2009	0.56628	29.4	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	502	12503
eng-spa	news-test2008	0.54671	27.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2051	52586
eng-spa	newstest2009	0.56486	28.6	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2525	68111
eng-spa	newstest2010	0.59754	33.5	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2489	65480
eng-spa	newstest2011	0.59732	34.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3003	79476
eng-spa	newstest2012	0.600	35.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3003	79006
eng-spa	newstest2013	0.57546	31.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	3000	70528
eng-spa	tatoeba-test-v2020-07-28	0.68397	49.3	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	10000	77311
eng-spa	tatoeba-test-v2021-03-30	0.68944	50.2	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	11940	93423
eng-spa	tatoeba-test-v2021-08-07	0.69741	50.9	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	16583	134710
eng-spa	tico19-test	0.69374	44.7	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	2100	66563
eng-vec	flores200-dev	0.32666	4.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	997	24998
eng-vec	flores200-devtest	0.32624	4.1	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	1012	26257
eng-zsm_Latn	tatoeba-test-v2020-07-28	0.137	2.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	536	4087
eng-zsm_Latn	tatoeba-test-v2021-03-30	0.137	2.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	536	4087
eng-zsm_Latn	tatoeba-test-v2021-08-07	0.137	2.0	https://object.pouta.csc.fi/Tatoeba-MT-models/eng-roa/opus-2020-07-27.zip	536	4087
